Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-07-31 15:34:13,71
ELY MN,47.903237,-91.867087,2023-07-31 15:35:13,71
Death Valley CA,36.5323,-116.93,2023-07-31 15:35:13,71
Maryville MO,40.346102,-94.872471,2023-07-31 15:35:13,71
ELY MN,47.903237,-91.867087,2023-07-31 15:36:13,71
Death Valley CA,36.5323,-116.93,2023-07-31 15:36:13,75
Maryville MO,40.346102,-94.872471,2023-07-31 15:36:13,75
ELY MN,47.903237,-91.867087,2023-07-31 15:37:13,69
Death Valley CA,36.5323,-116.93,2023-07-31 15:37:13,68
Maryville MO,40.346102,-94.872471,2023-07-31 15:37:13,74
