Company,Ticker,Time,Price
Wolverine World Wide Inc,WWW,2023-07-31 15:36:28,12.67
Nike Inc,NKE,2023-07-31 15:36:28,110.39
Lululemon Athletica Inc,LULU,2023-07-31 15:36:28,378.53
Under Armour Inc,UA,2023-07-31 15:36:29,7.42
On Holding AG,ONON,2023-07-31 15:36:29,36.0
Wolverine World Wide Inc,WWW,2023-07-31 15:37:29,12.67
Nike Inc,NKE,2023-07-31 15:37:29,110.39
Lululemon Athletica Inc,LULU,2023-07-31 15:37:30,378.53
Under Armour Inc,UA,2023-07-31 15:37:30,7.42
On Holding AG,ONON,2023-07-31 15:37:30,36.0
